OBJECTID,PRE_DIR_TX,PRE_TYPE_T,NAME_TX,SUF_TYPE_T,SUF_DIR_TX,SUFFIX_TX,FULL_NAME,NEW_NM_ID
131743,,,CRAWFORD,STREET,,,CRAWFORD ST,851189
132040,,,CASPAR,STREET,,,CASPAR ST,854147
131977,,,POCONO,ROAD,,,POCONO RD,854277
131782,,,HAZEL,STREET,,,HAZEL ST,855187
131864,,,DALLAS,STREET,,,DALLAS ST,855202
131924,,,HAVEN,LANE,,,HAVEN LN,855335
131903,,,GLEZEN,STREET,,,GLEZEN ST,857173
131651,,,ROSLYN,ROAD,,,ROSLYN RD,860282
131642,,,NAN,STREET,,,NAN ST,870117
131955,,,PINE HILL,ROAD,,,PINE HILL RD,874141
131976,,,POCASSET,STREET,,,POCASSET ST,875139
131979,,,POLITO,DRIVE,,,POLITO DR,878104
131837,,,ONSET,STREET,,,ONSET ST,878149
131691,,,CLARISSA,STREET,,,CLARISSA ST,880118
131796,,,SAYBROOK,ROAD,,,SAYBROOK RD,881106
131758,,,RANDOLPH,STREET,,,RANDOLPH ST,881170
131668,,,GIUSTO,STREET,,,GIUSTO ST,882123
131742,,,CRANE,STREET,,,CRANE ST,883123
131848,,,VIKING,TERRACE,,,VIKING TER,901136
131885,,,FLINT POND,ROAD,,,FLINT POND RD,913111
131963,,,PIONEER,ROAD,,,PIONEER RD,913130
131960,,,PINELAND,AVENUE,,,PINELAND AVE,915130
131954,,,PINECREST,DRIVE,,,PINECREST DR,919119
131746,,,CRESTLAN,CIRCLE,,,CRESTLAN CIR,919122
131978,,,POINTE ROK,DRIVE,,,POINTE ROK DR,925119
129642,,,ORTON,STREET,,,ORTON ST,863169
129643,,,OSCEOLA,AVENUE,,,OSCEOLA AVE,802369
129644,,,DEVONSHIRE,COURT,,,DEVONSHIRE CT,664388
129645,,,ANSON,ROAD,,,ANSON RD,751443
129646,,,STAFFORD,STREET,,,STAFFORD ST,621116
129647,,,STANLEY,ROAD,,,STANLEY RD,751396
129648,,,STANTON,STREET,,,STANTON ST,791253
129649,,,STATE,ROAD,,,STATE RD,780483
129650,,,STATE,STREET,,,STATE ST,746234
129651,,,STEARNS,STREET,,,STEARNS ST,606125
129652,,,STEBBINS,STREET,,,STEBBINS ST,754104
129653,,,STEELE,STREET,,,STEELE ST,749082
129654,,,STEPHEN,AVENUE,,,STEPHEN AVE,874112
129655,,,STETSON,ROAD,,,STETSON RD,701391
129656,,,STEVENS,ROAD,,,STEVENS RD,670178
129657,,,STOCKHOLM,STREET,,,STOCKHOLM ST,752089
129658,,,STOCKTON,STREET,,,STOCKTON ST,766139
129659,,,STODDARD,DRIVE,,,STODDARD DR,879175
129660,,,STONE,STREET,,,STONE ST,750152
129661,,,STONEGATE,LANE,,,STONEGATE LN,675375
129662,,,STONEHAM,ROAD,,,STONEHAM RD,837131
129663,,,STONEHOUSE,LANE,,,STONEHOUSE LN,616308
129664,,,STONELAND,ROAD,,,STONELAND RD,676147
129665,,,STONELEIGH,ROAD,,,STONELEIGH RD,710411
129666,,,STOWELL,AVENUE,,,STOWELL AVE,733339
129667,,,STRASBURG,ROAD,,,STRASBURG RD,754059
129668,,,STRATFIELD,STREET,,,STRATFIELD ST,826189
129669,,,STRATHMORE,ROAD,,,STRATHMORE RD,752140
129670,,,STRATTON,ROAD,,,STRATTON RD,796355
129671,,,STURGIS,STREET,,,STURGIS ST,774277
129672,,,SUDBURY,STREET,,,SUDBURY ST,742222
129673,,,SUFFIELD,STREET,,,SUFFIELD ST,759161
129674,,,SULTAN,STREET,,,SULTAN ST,793202
129675,,,SUMMER,STREET,,,SUMMER ST,761221
129676,,,PAPINEAU,AVENUE,,,PAPINEAU AVE,630092
129677,,,SUMMERHILL,AVENUE,,,SUMMERHILL AVE,758364
129678,,,SUMMIT,STREET,,,SUMMIT ST,752188
129679,,,SUN VALLEY,DRIVE,,,SUN VALLEY DR,698263
129680,,,SUNDERLAND,ROAD,,,SUNDERLAND RD,862136
129681,,,SUNDERLAND,TERRACE,,,SUNDERLAND TER,903132
129682,,,SUNNYHILL,DRIVE,,,SUNNYHILL DR,535276
129683,,,SUNNYSIDE,AVENUE,,,SUNNYSIDE AVE,598199
129684,,,SUNNYVIEW,HEIGHTS,,,SUNNYVIEW HTS,532283
129685,,,SUNRISE,AVENUE,,,SUNRISE AVE,730403
129686,,,SUPERIOR,ROAD,,,SUPERIOR RD,834195
129687,,,SURREY,LANE,,,SURREY LN,686290
129688,,,SUSSEX,LANE,,,SUSSEX LN,543285
129689,,,SUTTON,PLACE,,,SUTTON PL,682126
129690,,,SVEA,STREET,,,SVEA ST,758131
129691,,,SWAN,AVENUE,,,SWAN AVE,595192
129692,,,SWEETBRIAR,LANE,,,SWEETBRIAR LN,618197
129693,,,SYCAMORE,STREET,,,SYCAMORE ST,733191
129694,,,SYLVAN,STREET,,,SYLVAN ST,618139
129804,,,SHERMAN,STREET,,,SHERMAN ST,732140
129971,,,HILLCROFT,AVENUE,,,HILLCROFT AVE,776364
130137,,,LORION,AVENUE,,,LORION AVE,777384
130303,,,FLOWER HILL,DRIVE,,,FLOWER HILL DR,657313
130466,,,WALWORTH,STREET,,,WALWORTH ST,666203
130624,,,WOODLAND,DRIVE,,,"WOODLAND DR, PAXTON",525281
